type,value,confidence
domain,125.42.127.213:57565,high
domain,technology-rome.gl.at.ply.gg:51400,high
domain,95.127.243.245:9000,high
domain,42.6.74.181:35229,high
domain,222.141.79.162:48595,high
domain,bafybeidvf6tytrspkd4wnvxzs23m3kjr6bfvgszbfwybmmcosl4rrhvuo4.ipfs.w3s.link,high
domain,125.40.1.14:50351,high
domain,182.121.146.53:37365,high
domain,81.152.254.164:82,high
domain,182.121.46.78:33185,high
domain,175.173.83.235:56957,high
domain,116.138.161.231:34154,high
domain,59.97.253.0:45375,high
domain,8.219.91.178:4444,high
domain,27.202.81.16:50903,high
domain,178.141.215.202:53487,high
domain,39.71.206.3:47425,high
domain,42.85.209.195:42509,high
domain,200.59.75.236:45965,high
domain,cv.kogudoo.ru,high
domain,222.142.255.3:53634,high
domain,222.246.82.218:5901,high
domain,221.15.5.149:51789,high
domain,163.61.39.201,high
domain,117.209.28.248:35563,high
domain,poertywindow.com,high
domain,180.103.57.240:40896,high
domain,196.251.87.187,high
domain,tf2galaxy.com,high
domain,79.31.106.59:23452,high
domain,219.155.251.192:49858,high
domain,85.175.101.203,high
domain,166.108.200.194,high
domain,115.57.31.204:50154,high
domain,27.204.199.211:58467,high
domain,43.138.22.149:50050,high
domain,43.134.189.185:8007,high
domain,220.201.44.39:49497,high
domain,20.89.73.220,high
domain,27.74.48.214:8080,high
domain,117.235.107.110:52518,high
domain,61.53.150.23:32864,high
domain,117.211.43.9:48268,high
domain,119.189.199.75:46997,high
domain,demo.boskon.com.au,high
domain,196.251.86.215,high
domain,tf2academy.com,high
domain,151.235.186.112:1309,high
domain,112.248.115.167:53331,high
domain,125.41.5.196:45223,high
domain,123.143.141.75:10003,high
domain,222.141.177.44:38512,high
domain,120.77.8.76:8088,high
domain,2.190.61.196:1912,high
domain,60.17.24.14:46572,high
domain,116.139.119.249:55419,high
domain,113.180.216.37:8081,high
domain,117.209.5.238:33559,high
domain,222.142.210.185:43384,high
domain,185.151.108.232:29113,high
domain,115.49.101.19:41658,high
domain,68.107.218.106:1101,high
domain,8.137.14.204:8888,high
domain,39.89.63.74:36701,high
domain,200.59.88.123:39417,high
domain,denetimservices.com,high
domain,182.121.111.154:49262,high
domain,izumisv1.cc,high
domain,gpbtpz.rodeo,high
domain,comcocgbl.com,high
domain,222.140.160.93:55824,high
domain,152.173.214.159:8080,high
domain,5.59.107.34:44711,high
domain,taka.com.mx,high
domain,113.238.67.155:42121,high
domain,63.250.106.28:17545,high
domain,112.31.189.32:44947,high
domain,61.1.31.63:40591,high
domain,193.37.69.42:4569,high
domain,apexkolp.today,high
domain,117.209.88.163:45514,high
domain,47.242.66.123:60124,high
domain,14.245.206.226,high
domain,59.89.74.8:34672,high
domain,39.87.31.34:60727,high
domain,42.224.98.145:55412,high
domain,42.237.25.54:37906,high
domain,182.119.183.54:35902,high
domain,190.220.229.49:12646,high
domain,117.196.160.207:51947,high
domain,220.192.226.242:34528,high
domain,137.220.171.42,high
domain,175.174.27.114:51742,high
domain,27.37.100.130:37596,high
domain,125.42.25.202:55662,high
domain,117.213.251.8:36695,high
domain,113.231.207.28:45607,high
domain,200.59.88.114:44673,high
domain,123.5.169.92:56199,high
domain,103.167.175.118:44122,high
domain,115.58.142.238:54687,high
domain,123.11.129.167:37964,high
domain,61.53.84.141:44718,high
domain,59.88.135.244:53272,high
domain,202.107.91.165:52221,high
domain,200.59.87.252:40774,high
domain,link.emcdn.ru,high
domain,103.146.202.41:22533,high
domain,222.139.82.231:58384,high
domain,60.160.171.166:45884,high
domain,vtb-promo.online,high
domain,45.80.158.76,high
domain,219.157.144.129:54120,high
domain,api.silk-gen.com,high
domain,61.3.22.167:37980,high
domain,42.239.230.118:34344,high
domain,117.209.81.254:39701,high
domain,117.209.91.18:59144,high
domain,178.50.20.34:9301,high
domain,221.15.160.26:53127,high
domain,181.211.15.10:60096,high
domain,117.254.101.4:56560,high
domain,219.154.172.238:43039,high
domain,120.28.195.47:40903,high
domain,117.209.36.130:59964,high
domain,cdn.ly.9377.com,high
domain,107.172.238.5,high
domain,117.199.46.251:48190,high
domain,216.8.224.147:49252,high
domain,175.147.190.170:37103,high
domain,60.19.11.88:56129,high
domain,87.121.84.25,high
domain,175.150.147.117:50682,high
domain,202.169.234.39:43143,high
domain,45.8.145.215,high
domain,118.31.173.19:4444,high
domain,83.224.137.130,high
domain,59.88.3.88:37946,high
domain,221.15.145.9:49980,high
domain,42.228.38.205:33486,high
domain,42.5.20.79:60192,high
domain,innaflux.com,high
domain,144.172.104.222,high
domain,mileshr.ae,high
domain,117.254.166.237:50975,high
domain,149.88.80.131,high
domain,117.146.92.46:48581,high
domain,190.108.63.242,high
domain,209.54.105.38,high
domain,42.57.221.13:47833,high
domain,42.234.246.128:41325,high
domain,121.167.209.164:40197,high
domain,123.129.129.228:43317,high
domain,42.7.137.69:46678,high
domain,222.139.70.95:54538,high
domain,109.248.144.152,high
domain,182.117.76.87:35471,high
domain,61.6.130.185:38015,high
domain,87.119.108.21:40462,high
domain,58.140.19.208:60571,high
domain,82.148.194.54:9013,high
domain,123.13.80.104:48750,high
domain,115.50.239.57:49793,high
domain,112.234.202.127:58835,high
domain,89.67.25.191:54149,high
domain,182.115.66.87:41850,high
domain,60.160.154.207:50311,high
domain,222.138.116.113:53226,high
domain,42.227.177.197:38695,high
domain,117.209.126.35:44957,high
domain,123.7.223.125:44131,high
domain,200.59.88.180:36636,high
domain,psee.io,high
domain,www.controlbox.it,high
domain,185.241.208.92,high
domain,182.119.182.246:41138,high
domain,1.92.153.104:8888,high
domain,42.235.162.216:43827,high
domain,176.215.48.163:34182,high
domain,123.190.17.24:56833,high
domain,94.43.139.153:52169,high
domain,115.49.5.7:43424,high
domain,112.242.161.43:52323,high
domain,115.49.100.207:42712,high
domain,119.189.219.41:47337,high
domain,185.43.19.103:9043,high
domain,172.233.82.130,high
domain,69cutlass.com,high
domain,113.231.120.15:42504,high
domain,125.44.210.115:41309,high
domain,182.126.127.26:47510,high
domain,117.206.79.193:50513,high
domain,45.131.64.210,high
domain,conditioning-humanity-woman-crop.trycloudflare.com,high
domain,222.141.39.21:43255,high
domain,dejurebookkeeping.com,high
domain,59.97.177.33:60480,high
domain,185.220.86.255:44434,high
